
/start data
{'msec': 2790.000000, 'rpm': 2773.199951, 'set_rpm': 3600.000000},
{'msec': 2800.000000, 'rpm': 2834.399902, 'set_rpm': 3600.000000},
{'msec': 2810.000000, 'rpm': 2838.000000, 'set_rpm': 3600.000000},
{'msec': 2820.000000, 'rpm': 2874.000000, 'set_rpm': 3600.000000},
{'msec': 2830.000000, 'rpm': 2793.600098, 'set_rpm': 3600.000000},
{'msec': 2840.000000, 'rpm': 2955.600098, 'set_rpm': 3600.000000},
{'msec': 2850.000000, 'rpm': 2798.399902, 'set_rpm': 3600.000000},
{'msec': 2860.000000, 'rpm': 2950.800049, 'set_rpm': 3600.000000},
{'msec': 2870.000000, 'rpm': 2814.000000, 'set_rpm': 3600.000000},
{'msec': 2880.000000, 'rpm': 2937.600098, 'set_rpm': 3600.000000},
{'msec': 2890.000000, 'rpm': 2866.800049, 'set_rpm': 3600.000000},
{'msec': 2900.000000, 'rpm': 2911.199951, 'set_rpm': 3600.000000},
{'msec': 2910.000000, 'rpm': 2850.000000, 'set_rpm': 3600.000000},
{'msec': 2920.000000, 'rpm': 2889.600098, 'set_rpm': 3600.000000},
{'msec': 2930.000000, 'rpm': 2869.199951, 'set_rpm': 3600.000000},
{'msec': 2940.000000, 'rpm': 2952.000000, 'set_rpm': 3600.000000},
{'msec': 2950.000000, 'rpm': 2944.800049, 'set_rpm': 3600.000000},
{'msec': 2960.000000, 'rpm': 2894.399902, 'set_rpm': 3600.000000},
{'msec': 2970.000000, 'rpm': 2952.000000, 'set_rpm': 3600.000000},
{'msec': 2980.000000, 'rpm': 2956.800049, 'set_rpm': 3600.000000},
{'msec': 2990.000000, 'rpm': 2943.600098, 'set_rpm': 3600.000000},
{'msec': 3000.000000, 'rpm': 2934.000000, 'set_rpm': 3600.000000},
{'msec': 3010.000000, 'rpm': 3007.199951, 'set_rpm': 3600.000000},
{'msec': 3020.000000, 'rpm': 2874.000000, 'set_rpm': 3600.000000},
{'msec': 3030.000000, 'rpm': 3014.399902, 'set_rpm': 3600.000000},
{'msec': 3040.000000, 'rpm': 2922.000000, 'set_rpm': 3600.000000},
{'msec': 3050.000000, 'rpm': 3031.199951, 'set_rpm': 3600.000000},
{'msec': 3060.000000, 'rpm': 2938.800049, 'set_rpm': 3600.000000},
{'msec': 3070.000000, 'rpm': 3001.199951, 'set_rpm': 3600.000000},
{'msec': 3080.000000, 'rpm': 2965.199951, 'set_rpm': 3600.000000},
{'msec': 3090.000000, 'rpm': 3040.800049, 'set_rpm': 3600.000000},
{'msec': 3110.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 3120.000000, 'rpm': -502.799988, 'set_rpm': 3600.000000},
{'msec': 3130.000000, 'rpm': -219.600006, 'set_rpm': 3600.000000},
{'msec': 3140.000000, 'rpm': -219.600006, 'set_rpm': 3600.000000},
{'msec': 3150.000000, 'rpm': -0.000000, 'set_rpm': 3600.000000},
{'msec': 3160.000000, 'rpm': 72.000000, 'set_rpm': 3600.000000},
{'msec': 3170.000000, 'rpm': 72.000000, 'set_rpm': 3600.000000},
{'msec': 3180.000000, 'rpm': 72.000000, 'set_rpm': 3600.000000},
